"C Voronoi Diagram",("S Geometry";"S Polygons"),0.43
"C Finding Bridges",("S Graph";"S Undirected Graph";"S Depth First Search";"S Connected Components";"S Acyclic Graph"),0.24
"C Strongly Connected Components",("S Graph";"S Directed Graph";"S Subset";"S Acyclic Graph";"S Depth First Search";"S Breadth First Search"),0.27
"C Dijkstra",("S Graph";"S Directed Graph";"S Undirected Weighted Graph";"S Single Source Shortest Path"),0.7
"C Minimum Spanning Tree",("S Graph";"S Undirected Unweighted Graph";"S Minimal Cost";"S Connected Graph"),0.57
"C Floyd-Warshall",("S Graph";"S Directed Graph";"S Undirected Unweighted Graph";"S Negative Weight Edges";"S Weighted Graph"),0.15
"C Prim's Algorithm",("S Graph";"S Undirected Unweighted Graph";"S Minimal Cost";"S Connected Graph"),0.1
"C Kruskal",("S Minimum Spanning Tree";"S Graph";"S Undirected Unweighted Graph";"S Minimal Cost";"S Connected Graph"),0.89
"C Lowest Common Ancestor",("S Graph";"S Tree";"S Depth First Search";"S Euler Tour";"S Single Source Shortest Path";"S Sparse Table"),0.17
"C Kirchhoff Theorem",("S Graph";"S Connected Undirected Graph"),0.11
"C Binary Lifting",("S Lowest Common Ancestor";"S Graph";"S Tree";"S Depth First Search";"S Array"),0.53
"C Maximum Flow",("S Graph";"S Maximal Flow";"S Directed Graph";"S Flow Network"),0.4
"C Ford-Fulkerson and Edmonds-Karp",("S Graph";"S Maximum Flow";"S Residual Capacity";"S Residual Network";"S Depth First Search";"S Breadth First Search";"S Max-Flow Min-Cut"),0.52
"C Dinic",("S Graph";"S Maximum Flow";"S Residual Network";"S Single Source Shortest Path";"S Acyclic Graph";"S Depth First Search"),0.87
"C Kuhn's Algorithm",("S Graph";"S Bipartite Graph";"S Maximum Match"),0.74
"C Topological Sorting",("S Graph";"S Directed Graph";"S Permutation";"S Depth First Search";"S Acyclic Graph"),0.62
"C 2-SAT",("S Directed Graph";"S Graph";"S Bit";"S Bitwise";"S And";"S Or"),0.28
"C Heavy-Light Decomposition",("S Graph";"S Tree";"S Segment Tree";"S Euler Tour"),0.32
"C Longest Increasing Subsequence",("S Dynamic Programming";"S Array";"S Maximum Value"),0.75
"C Sprague-Grundy Theorem",("S Nim";"S Game Theory";"S Dynamic Programming";"S Perfect Information";"S Finite Game";"S Xor-Sum";"S Bitwise Operation"),0.83
